Year,Total Physical,Performance Rights,Downloads & Other Digital,Total Streaming,Synchronisation,Total
1999,22.2,,,,,22.2
2000,20.9,,,,,20.9
2001,21.5,0.6,,,,22.1
2002,20,0.7,,,,20.7
2003,18.4,0.7,,,,19.1
2004,17.9,0.9,0.3,,,19.1
2005,16.7,0.8,0.9,0.1,,18.5
2006,15.1,0.9,1.8,0.1,,17.9
2007,13,1.1,2.5,0.2,,16.8
2008,10.9,1.2,3.2,0.3,,15.6
2009,9.5,1.2,3.5,0.4,,14.6
2010,8.1,1.3,3.6,0.4,0.3,13.7
2011,7.4,1.3,4,0.6,0.3,13.6
2012,6.8,1.4,4.2,0.9,0.3,13.6
2013,6.1,1.6,4.1,1.3,0.3,13.4
2014,5.3,1.7,3.8,1.8,0.3,12.9
2015,5.1,1.8,3.6,2.6,0.3,13.4
2016,4.9,2.1,3,4.4,0.3,14.7
2017,4.6,2.2,2.5,6.2,0.4,15.9
2018,4.1,2.5,1.6,8.8,0.4,17.4
2019,3.9,2.4,1.4,10.7,0.4,18.8
2020,3.7,2.2,1.2,12.7,0.4,20.2
2021,4.3,2.3,1.1,15.7,0.5,23.9
2022,4.5,2.5,0.9,17.5,0.6,26
2023,5.1,2.7,0.9,19.3,0.6,28.6